School ID,School Name,Network ,SQRP Total Points Earned,SY 2017-2018 SQRP Rating,SY 2017-2018 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight
400116,MONTESSORI ENGLEWOOD,Charter,3.6,Level 1,Not Applicable,73,100,4,23.75,83,99,4,23.75,55.3,99,3,10,70,100,5,1.25,,,,,,,,,,,,,83,99,5,1.25,,,,,,,,,,,,,14,100,2,5,18,99,2,5,1,98,1,2.5,1,100,1,2.5,95.1,4,20,Not Enough Data,,,99.5,5,5
400120,ACERO - CLEMENTE,Charter,3.1,Level 2+,Not Applicable,68,100,3,17.5,30,100,2,17.5,51.9,100,3,10,,,,,70,100,5,1.25,62,100,4,1.25,,,,,,,,,30,100,3,1.25,20,100,2,1.25,,,,,54,100,3,5,41,100,3,5,61,100,3,2.5,37,100,2,2.5,96.2,5,20,Not Yet Organized,1,10,99.9,5,5
400146,KIPP - ACADEMY,Charter,4.1,Level 1+,Not Applicable,87,100,4,17.5,84,100,4,17.5,64.8,100,4,10,88,100,5,1.25,,,,,,,,,70,100,5,1.25,85,100,5,1.25,,,,,,,,,96,100,5,1.25,50,100,3,7.5,46,100,3,7.5,,,,,,,,,95.8,4,20,Well Organized,5,10,99.8,5,5
400151,LEARN - 7,Charter,3.1,Level 2+,Not Applicable,18,100,2,18.75,13,100,2,18.75,40.2,100,2,10,17,100,2,1.25,,,,,,,,,,,,,13,100,2,1.25,,,,,,,,,,,,,28,100,2,5,30,100,2,5,25,98,2,2.5,22,98,2,2.5,96.4,5,20,Well Organized,5,10,100,5,5
400153,ACERO - BRIGHTON PARK,Charter,4.4,Level 1+,Not Applicable,82,100,4,17.5,80,100,4,17.5,67.5,100,4,10,,,,,82,100,5,1.25,68,100,4,1.25,,,,,,,,,81,100,5,1.25,76,100,5,1.25,,,,,72,100,4,5,65,100,3,5,95,100,5,2.5,74,100,4,2.5,96.2,5,20,Well Organized,5,10,99.9,5,5
400159,CHRISTOPHER HOUSE,Charter,4.8,Level 1+,Not Applicable,99,100,5,17.5,97,100,5,17.5,75.3,100,5,10,,,,,99,100,5,1.25,99,100,5,1.25,,,,,,,,,97,100,5,1.25,99,100,5,1.25,,,,,81,100,4,5,73,100,4,5,71,96,4,2.5,49,96,3,2.5,96.7,5,20,Well Organized,5,10,99.5,5,5
400161,CHICAGO COLLEGIATE,Charter,2.6,Level 2,Not Applicable,22,97,2,17.5,13,97,2,17.5,45.2,97,2,10,22,97,2,1.25,,,,,,,,,30,97,3,1.25,13,97,2,1.25,,,,,,,,,1,98,1,1.25,61,97,3,7.5,26,97,2,7.5,,,,,,,,,94.2,3,20,Organized,4,10,99.4,5,5
400163,KIPP - BLOOM,Charter,3.2,Level 2+,Not Applicable,64,100,3,17.5,23,100,2,17.5,51.4,100,3,10,64,100,4,1.25,,,,,,,,,15,100,2,1.25,22,100,2,1.25,,,,,,,,,24,100,2,1.25,33,100,2,7.5,27,100,2,7.5,,,,,,,,,95.3,4,20,Well Organized,5,10,99.6,5,5
400165,LEARN - MIDDLE,Charter,2.6,Level 2,Not Applicable,11,100,2,17.5,32,100,2,17.5,44.3,100,2,10,11,100,2,1.25,,,,,,,,,1,100,1,1.25,31,100,3,1.25,,,,,,,,,7,100,1,1.25,27,100,2,7.5,29,100,2,7.5,,,,,,,,,95.7,4,20,Moderately Organized,3,10,99,5,5
400168,GREAT LAKES,Charter,4,Level 1+,Not Applicable,75,100,4,11.25,77,100,4,11.25,70.6,100,5,10,70,100,5,1.25,,,,,,,,,,,,,74,100,5,1.25,,,,,,,,,,,,,81,100,4,2.5,60,100,3,2.5,63,100,3,5,39,100,2,5,95.7,4,35,Organized,4,10,99.8,5,5
